Title,Company,Description,Salary
HR Assistant,Sunil,We are looking to employ an HR assistant with outstanding administrative and communication skills. An HR assistant is expected to be a conceptual thin...,Human Resource ManagementTalent AcquisitionHr RecruiterEmployee EngagementHr GeneralistHr OperationsRecruitmentAppraisalCompensationPayroll Processing
HR Assistant,Sunil,We are looking to employ an HR assistant with outstanding administrative and communication skills. An HR assistant is expected to be a conceptual thin...,Hr CoordinatorHR AssistantHuman Resource ManagementTalent AcquisitionRecruitmentEmployee RelationsHr GeneralistHr Recruitertraining managerCompensation
.Net + Angular Developer - J48535,SAMPOORNA CONSULTANTS PVT LTD,Work Location is Seawoods  NaviMumbai..Net+Angular Developer1-3 Yrs3-5 Yrs5-7 YrsWe are looking for a skilled web developer having minimum 1-7 +yrs of...,Angularc#asp.net.net core
Python Developer - J48497,SAMPOORNA CONSULTANTS PVT LTD,"Qualification: BE/ BTechTotal Experience: 1 to 4 yearsSkills Required:Must have- Python, Numpy, Pandas, FastAPI, SQL/DatabaseGood to have- MLFlowJob R...",PythonNumpyPandasFastAPISQL
.NET Developer - J48514,SAMPOORNA CONSULTANTS PVT LTD,Work Location: Marol (Andheri).NOTE: Application Development & Support.Mandatory Skills:C#ASP.NetJavascriptJQuerySQLGood to have Skills:HTMLCSSWeb...,JavascriptJQuery
IT Integration Developer - Remote,NTT Data Vertex Software Inc.,"IT Integration Developer - RemoteDate: Nov 21, 2024Location: Plano, TX, USCompany: NTT DATA ServicesReq ID: 304402NTT DATA strives to hire exceptional...",nodejs developmentapi integrationdata transformationkubernetes deploymenthealthcare standardsorchestrationinformation technologyartificial intelligencedevopstechnology consultingjsonintegration developernode.jshl7infrastructure
Security Identity - Systems Engineering Specialist Advisor,NTT Data Vertex Software Inc.,"Security Identity - Systems Engineering Specialist AdvisorDate: Nov 21, 2024Location: Bangalore, KA, INCompany: NTT DATA ServicesReq ID: 303601NTT DAT...",active directory migrationazure active directorypowershell scriptingidentity management integrationad trusts and schemasartificial intelligencevb .netpimtechnology consultingcryptographyalgorithmssecurityoimiamaccess managementwindowsinfrastructure
Security Identity - Systems Engineering Specialist Advisor,NTT Data Vertex Software Inc.,": Security Identity - Systems Engineering Specialist AdvisorDate: Nov 21, 2024Location: Bangalore, KA, INCompany: NTT DATA ServicesReq ID: 303600NTT D...",active directory migrationazure active directorypowershell scriptingidentity managementcloud integration solutionsartificial intelligencevb .netpimtechnology consultingcryptographyalgorithmssecurityoimiamaccess managementwindowsinfrastructure
Enterprise Resource Planning Advisor,NTT Data Vertex Software Inc.,": Enterprise Resource Planning AdvisorDate: Nov 21, 2024Location: Hyderabad, Bangalore, and Chen, TG, INCompany: NTT DATA ServicesDay to Day Job Dutie...",oracle epm clouddata management fdmeeepm automate utilityfinancial accounting knowledgeanalytical problem solvingrest apibusiness rulesdatabasedebuggingcloud servicesteam playergroovyconsultant
Java Developer - Digital Solution Consultant Sr. Analyst,NTT Data Vertex Software Inc.,": Java Developer - Digital Solution Consultant Sr. AnalystDate: Nov 21, 2024Location: Bangalore, KA, INCompany: NTT DATA ServicesReq ID: 304779NTT DAT...",java developmentsoftware testingapplication designtechnical documentationproblem solvingartificial intelligencejava developermultimediainfrastructuretechnology consultingjava eedebugging
Java Developer - Digital Solution Consultant Sr. Analyst,NTT Data Vertex Software Inc.,"Position: Java Developer - Digital Solution Consultant Sr. AnalystDate: Nov 21, 2024Location: Bangalore, KA, INCompany: NTT DATA ServicesReq ID: 30478...",java developmentsoftware lifecycletechnical documentationapplication testingsystem analysisartificial intelligencejava developermultimediainfrastructuretechnology consultingjava eedebugging
Enterprise Resource Planning Advisor,NTT Data Vertex Software Inc.,": Enterprise Resource Planning AdvisorDate: Nov 21, 2024Location: Chennai, TN, INCompany: NTT DATA ServicesReq ID: 303369NTT DATA strives to hire exce...",data migration   fbdi templates   adfdi configuration   data quality checks   erp implementationartificial intelligencedatabaseoracle erptechnology consultinginfrastructure
